id,category,base,treatment,data_needed,limitation,U,T,S,D,C,M,P,score,scan_score,research_score,readiness,release_gate
PAG-05-02,pages,Comparison page: two to four voices on an issue,evidence then interpretation,"same-proposition claims, dates, speaker IDs","No-data cells must remain unknown, not neutral; proof immediate; orientation slightly slower",4,5,3,5,5,4,3,84.8,82.0,88.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-05-03,pages,Comparison page: two to four voices on an issue,chart then summary,"same-proposition claims, dates, speaker IDs","No-data cells must remain unknown, not neutral; trend dominates without substantive framing",4,4,2,5,5,4,3,77.6,72.8,82.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-05-04,pages,Comparison page: two to four voices on an issue,arguments then evidence ledger,"same-proposition claims, dates, speaker IDs","No-data cells must remain unknown, not neutral; works only with genuine paired positions",4,4,3,5,5,4,3,80.4,77.6,84.0,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-05-05,pages,Comparison page: two to four voices on an issue,single reading column,"same-proposition claims, dates, speaker IDs","No-data cells must remain unknown, not neutral; desktop comparison becomes sequential",4,4,3,5,5,5,3,82.4,80.0,85.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-05-06,pages,Comparison page: two to four voices on an issue,desktop reading column plus sidebar,"same-proposition claims, dates, speaker IDs","No-data cells must remain unknown, not neutral; sidebar below key evidence on mobile",4,4,3,5,5,4,3,80.4,77.6,84.0,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-05-07,pages,Comparison page: two to four voices on an issue,tabs for summary/claims/history,"same-proposition claims, dates, speaker IDs","No-data cells must remain unknown, not neutral; hidden sections need counts and direct routes",4,4,3,5,5,4,2,78.8,76.4,82.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-05-08,pages,Comparison page: two to four voices on an issue,accordion sections,"same-proposition claims, dates, speaker IDs","No-data cells must remain unknown, not neutral; compact but disclosure can hide evidence",4,4,4,5,5,3,3,81.2,80.0,84.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-05-09,pages,Comparison page: two to four voices on an issue,full table with expandable rows,"same-proposition claims, dates, speaker IDs","No-data cells must remain unknown, not neutral; research power with weaker narrative scan",4,4,2,5,5,4,2,76.0,71.6,81.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-05-10,pages,Comparison page: two to four voices on an issue,current layout with corrected labels,"same-proposition claims, dates, speaker IDs","No-data cells must remain unknown, not neutral; preserves interaction; leaves some scroll cost",4,4,3,5,5,4,4,82.0,78.8,85.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-06-01,pages,Issue directory: compact rows and previews,summary then strongest evidence,"canonical aliases, comparable share, coverage",Discovery surface cannot replace substantive brief; one-screen entry and clear depth,4,4,5,4,3,5,5,84.4,86.8,81.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-06-02,pages,Issue directory: compact rows and previews,evidence then interpretation,"canonical aliases, comparable share, coverage",Discovery surface cannot replace substantive brief; proof immediate; orientation slightly slower,4,5,4,4,3,5,5,86.0,86.4,84.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-06-03,pages,Issue directory: compact rows and previews,chart then summary,"canonical aliases, comparable share, coverage",Discovery surface cannot replace substantive brief; trend dominates without substantive framing,4,4,3,4,3,5,5,78.8,77.2,78.0,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-06-04,pages,Issue directory: compact rows and previews,arguments then evidence ledger,"canonical aliases, comparable share, coverage",Discovery surface cannot replace substantive brief; works only with genuine paired positions,4,4,4,4,4,5,5,83.6,83.6,82.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-06-05,pages,Issue directory: compact rows and previews,single reading column,"canonical aliases, comparable share, coverage",Discovery surface cannot replace substantive brief; desktop comparison becomes sequential,4,4,4,4,3,5,5,81.6,82.0,79.6,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-06-06,pages,Issue directory: compact rows and previews,desktop reading column plus sidebar,"canonical aliases, comparable share, coverage",Discovery surface cannot replace substantive brief; sidebar below key evidence on mobile,4,4,4,5,3,5,5,84.4,84.0,83.6,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-06-07,pages,Issue directory: compact rows and previews,tabs for summary/claims/history,"canonical aliases, comparable share, coverage",Discovery surface cannot replace substantive brief; hidden sections need counts and direct routes,4,4,4,5,3,5,4,82.8,82.8,82.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-06-08,pages,Issue directory: compact rows and previews,accordion sections,"canonical aliases, comparable share, coverage",Discovery surface cannot replace substantive brief; compact but disclosure can hide evidence,4,4,5,4,3,4,5,82.4,84.4,80.0,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-06-09,pages,Issue directory: compact rows and previews,full table with expandable rows,"canonical aliases, comparable share, coverage",Discovery surface cannot replace substantive brief; research power with weaker narrative scan,4,4,3,5,3,5,4,80.0,78.0,80.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-06-10,pages,Issue directory: compact rows and previews,current layout with corrected labels,"canonical aliases, comparable share, coverage",Discovery surface cannot replace substantive brief; preserves interaction; leaves some scroll cost,4,4,4,4,3,5,5,81.6,82.0,79.6,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-07-01,pages,Source dossier: corpus gaps and contributions,summary then strongest evidence,"show/episode IDs, stages, gaps, issue links",Operational details should not crowd primary research; one-screen entry and clear depth,3,4,4,5,4,4,4,78.4,78.4,79.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-07-02,pages,Source dossier: corpus gaps and contributions,evidence then interpretation,"show/episode IDs, stages, gaps, issue links",Operational details should not crowd primary research; proof immediate; orientation slightly slower,3,5,3,5,4,4,4,80.0,78.0,82.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-07-03,pages,Source dossier: corpus gaps and contributions,chart then summary,"show/episode IDs, stages, gaps, issue links",Operational details should not crowd primary research; trend dominates without substantive framing,3,4,2,5,4,4,4,72.8,68.8,76.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-07-04,pages,Source dossier: corpus gaps and contributions,arguments then evidence ledger,"show/episode IDs, stages, gaps, issue links",Operational details should not crowd primary research; works only with genuine paired positions,3,4,3,5,5,4,4,77.6,75.2,80.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-07-05,pages,Source dossier: corpus gaps and contributions,single reading column,"show/episode IDs, stages, gaps, issue links",Operational details should not crowd primary research; desktop comparison becomes sequential,3,4,3,5,4,5,4,77.6,76.0,79.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-07-06,pages,Source dossier: corpus gaps and contributions,desktop reading column plus sidebar,"show/episode IDs, stages, gaps, issue links",Operational details should not crowd primary research; sidebar below key evidence on mobile,3,4,3,5,4,4,4,75.6,73.6,78.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-07-07,pages,Source dossier: corpus gaps and contributions,tabs for summary/claims/history,"show/episode IDs, stages, gaps, issue links",Operational details should not crowd primary research; hidden sections need counts and direct routes,3,4,3,5,4,4,3,74.0,72.4,76.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-07-08,pages,Source dossier: corpus gaps and contributions,accordion sections,"show/episode IDs, stages, gaps, issue links",Operational details should not crowd primary research; compact but disclosure can hide evidence,3,4,4,5,4,3,4,76.4,76.0,78.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-07-09,pages,Source dossier: corpus gaps and contributions,full table with expandable rows,"show/episode IDs, stages, gaps, issue links",Operational details should not crowd primary research; research power with weaker narrative scan,3,4,2,5,4,4,3,71.2,67.6,75.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-07-10,pages,Source dossier: corpus gaps and contributions,current layout with corrected labels,"show/episode IDs, stages, gaps, issue links",Operational details should not crowd primary research; preserves interaction; leaves some scroll cost,3,4,3,5,4,4,5,77.2,74.8,79.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-08-01,pages,Question results: cited answer and alternatives,summary then strongest evidence,"ranked resolution, answer citations, ambiguity",Literal matching must not pretend to answer the question; one-screen entry and clear depth,4,4,4,5,5,4,4,84.8,83.6,86.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-08-02,pages,Question results: cited answer and alternatives,evidence then interpretation,"ranked resolution, answer citations, ambiguity",Literal matching must not pretend to answer the question; proof immediate; orientation slightly slower,4,5,3,5,5,4,4,86.4,83.2,90.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-08-03,pages,Question results: cited answer and alternatives,chart then summary,"ranked resolution, answer citations, ambiguity",Literal matching must not pretend to answer the question; trend dominates without substantive framing,4,4,2,5,5,4,4,79.2,74.0,83.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-08-04,pages,Question results: cited answer and alternatives,arguments then evidence ledger,"ranked resolution, answer citations, ambiguity",Literal matching must not pretend to answer the question; works only with genuine paired positions,4,4,3,5,5,4,4,82.0,78.8,85.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-08-05,pages,Question results: cited answer and alternatives,single reading column,"ranked resolution, answer citations, ambiguity",Literal matching must not pretend to answer the question; desktop comparison becomes sequential,4,4,3,5,5,5,4,84.0,81.2,86.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-08-06,pages,Question results: cited answer and alternatives,desktop reading column plus sidebar,"ranked resolution, answer citations, ambiguity",Literal matching must not pretend to answer the question; sidebar below key evidence on mobile,4,4,3,5,5,4,4,82.0,78.8,85.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-08-07,pages,Question results: cited answer and alternatives,tabs for summary/claims/history,"ranked resolution, answer citations, ambiguity",Literal matching must not pretend to answer the question; hidden sections need counts and direct routes,4,4,3,5,5,4,3,80.4,77.6,84.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-08-08,pages,Question results: cited answer and alternatives,accordion sections,"ranked resolution, answer citations, ambiguity",Literal matching must not pretend to answer the question; compact but disclosure can hide evidence,4,4,4,5,5,3,4,82.8,81.2,85.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-08-09,pages,Question results: cited answer and alternatives,full table with expandable rows,"ranked resolution, answer citations, ambiguity",Literal matching must not pretend to answer the question; research power with weaker narrative scan,4,4,2,5,5,4,3,77.6,72.8,82.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-08-10,pages,Question results: cited answer and alternatives,current layout with corrected labels,"ranked resolution, answer citations, ambiguity",Literal matching must not pretend to answer the question; preserves interaction; leaves some scroll cost,4,4,3,5,5,4,5,83.6,80.0,86.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-09-01,pages,Disagreement dossier: proposition and assumptions,summary then strongest evidence,adjudicated opposition and differing assumptions,Opposite sentiment is not sufficient evidence of opposition; one-screen entry and clear depth,5,4,4,5,5,4,3,87.6,86.0,90.0,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-09-02,pages,Disagreement dossier: proposition and assumptions,evidence then interpretation,adjudicated opposition and differing assumptions,Opposite sentiment is not sufficient evidence of opposition; proof immediate; orientation slightly slower,5,5,3,5,5,4,3,89.2,85.6,93.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-09-03,pages,Disagreement dossier: proposition and assumptions,chart then summary,adjudicated opposition and differing assumptions,Opposite sentiment is not sufficient evidence of opposition; trend dominates without substantive framing,5,4,2,5,5,4,3,82.0,76.4,86.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-09-04,pages,Disagreement dossier: proposition and assumptions,arguments then evidence ledger,adjudicated opposition and differing assumptions,Opposite sentiment is not sufficient evidence of opposition; works only with genuine paired positions,5,4,3,5,5,4,3,84.8,81.2,88.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-09-05,pages,Disagreement dossier: proposition and assumptions,single reading column,adjudicated opposition and differing assumptions,Opposite sentiment is not sufficient evidence of opposition; desktop comparison becomes sequential,5,4,3,5,5,5,3,86.8,83.6,89.6,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-09-06,pages,Disagreement dossier: proposition and assumptions,desktop reading column plus sidebar,adjudicated opposition and differing assumptions,Opposite sentiment is not sufficient evidence of opposition; sidebar below key evidence on mobile,5,4,3,5,5,4,3,84.8,81.2,88.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-09-07,pages,Disagreement dossier: proposition and assumptions,tabs for summary/claims/history,adjudicated opposition and differing assumptions,Opposite sentiment is not sufficient evidence of opposition; hidden sections need counts and direct routes,5,4,3,5,5,4,2,83.2,80.0,87.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-09-08,pages,Disagreement dossier: proposition and assumptions,accordion sections,adjudicated opposition and differing assumptions,Opposite sentiment is not sufficient evidence of opposition; compact but disclosure can hide evidence,5,4,4,5,5,3,3,85.6,83.6,88.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-09-09,pages,Disagreement dossier: proposition and assumptions,full table with expandable rows,adjudicated opposition and differing assumptions,Opposite sentiment is not sufficient evidence of opposition; research power with weaker narrative scan,5,4,2,5,5,4,2,80.4,75.2,85.6,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-09-10,pages,Disagreement dossier: proposition and assumptions,current layout with corrected labels,adjudicated opposition and differing assumptions,Opposite sentiment is not sufficient evidence of opposition; preserves interaction; leaves some scroll cost,5,4,3,5,5,4,4,86.4,82.4,89.6,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-10-01,pages,Coverage page: stages and affected research,summary then strongest evidence,"stage denominators, freshness, scoped source membership",Intake form is secondary to explaining evidence limits; one-screen entry and clear depth,3,5,5,4,4,4,5,84.4,86.8,83.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-10-02,pages,Coverage page: stages and affected research,evidence then interpretation,"stage denominators, freshness, scoped source membership",Intake form is secondary to explaining evidence limits; proof immediate; orientation slightly slower,3,5,4,4,4,4,5,81.6,82.0,81.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-10-03,pages,Coverage page: stages and affected research,chart then summary,"stage denominators, freshness, scoped source membership",Intake form is secondary to explaining evidence limits; trend dominates without substantive framing,3,5,3,4,4,4,5,78.8,77.2,80.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-10-04,pages,Coverage page: stages and affected research,arguments then evidence ledger,"stage denominators, freshness, scoped source membership",Intake form is secondary to explaining evidence limits; works only with genuine paired positions,3,5,4,4,5,4,5,83.6,83.6,84.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-10-05,pages,Coverage page: stages and affected research,single reading column,"stage denominators, freshness, scoped source membership",Intake form is secondary to explaining evidence limits; desktop comparison becomes sequential,3,5,4,4,4,5,5,83.6,84.4,82.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-10-06,pages,Coverage page: stages and affected research,desktop reading column plus sidebar,"stage denominators, freshness, scoped source membership",Intake form is secondary to explaining evidence limits; sidebar below key evidence on mobile,3,5,4,5,4,4,5,84.4,84.0,85.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-10-07,pages,Coverage page: stages and affected research,tabs for summary/claims/history,"stage denominators, freshness, scoped source membership",Intake form is secondary to explaining evidence limits; hidden sections need counts and direct routes,3,5,4,5,4,4,4,82.8,82.8,84.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-10-08,pages,Coverage page: stages and affected research,accordion sections,"stage denominators, freshness, scoped source membership",Intake form is secondary to explaining evidence limits; compact but disclosure can hide evidence,3,5,5,4,4,3,5,82.4,84.4,82.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-10-09,pages,Coverage page: stages and affected research,full table with expandable rows,"stage denominators, freshness, scoped source membership",Intake form is secondary to explaining evidence limits; research power with weaker narrative scan,3,5,3,5,4,4,4,80.0,78.0,82.8,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
PAG-10-10,pages,Coverage page: stages and affected research,current layout with corrected labels,"stage denominators, freshness, scoped source membership",Intake form is secondary to explaining evidence limits; preserves interaction; leaves some scroll cost,3,5,4,4,4,4,5,81.6,82.0,81.6,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-01-01,components,Cited claim card,always visible compact row,"claim text, speaker, date, evidence ID, source URL",Summary is distinct from verbatim quote; limited room for caveat; open detail,5,4,5,5,4,5,5,93.6,94.0,92.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-01-02,components,Cited claim card,full-width editorial card,"claim text, speaker, date, evidence ID, source URL",Summary is distinct from verbatim quote; readable bounded excerpt,5,4,5,5,4,5,5,93.6,94.0,92.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-01-03,components,Cited claim card,inline expandable detail,"claim text, speaker, date, evidence ID, source URL",Summary is distinct from verbatim quote; expansion preserves place,5,4,5,5,4,5,5,93.6,94.0,92.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-01-04,components,Cited claim card,side drawer plus permalink,"claim text, speaker, date, evidence ID, source URL",Summary is distinct from verbatim quote; focus and back stack require care,5,4,5,5,4,5,4,92.0,92.8,91.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-01-05,components,Cited claim card,dedicated routed detail,"claim text, speaker, date, evidence ID, source URL",Summary is distinct from verbatim quote; extra navigation but source addressable,5,4,5,5,4,5,5,93.6,94.0,92.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-01-06,components,Cited claim card,hover preview plus click detail,"claim text, speaker, date, evidence ID, source URL","Summary is distinct from verbatim quote; hover enhancement only, never sole access",5,4,5,5,4,4,5,91.6,91.6,91.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-01-07,components,Cited claim card,select-and-compare tray,"claim text, speaker, date, evidence ID, source URL",Summary is distinct from verbatim quote; state can distract from current task,5,4,5,5,5,5,4,94.0,94.4,94.0,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-01-08,components,Cited claim card,pinned sidebar,"claim text, speaker, date, evidence ID, source URL",Summary is distinct from verbatim quote; moves below summary on mobile,5,4,5,5,4,4,5,91.6,91.6,91.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-01-09,components,Cited claim card,chronological sequence,"claim text, speaker, date, evidence ID, source URL",Summary is distinct from verbatim quote; context clear; relevance still needs ranking,5,4,5,5,4,5,5,93.6,94.0,92.4,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-01-10,components,Cited claim card,preserve appearance; improve semantics,"claim text, speaker, date, evidence ID, source URL",Summary is distinct from verbatim quote; labels and keyboard states first,5,5,5,5,4,5,5,98.0,98.4,97.2,Presentation-ready; substantive content depends on approved corpus,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-02-01,components,Before-and-after evidence pair,always visible compact row,"same proposition, earlier/later accepted claims",Cannot infer changed mind merely from topic-level sentiment; limited room for caveat; open detail,5,4,5,5,5,5,4,94.0,94.4,94.0,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-02-02,components,Before-and-after evidence pair,full-width editorial card,"same proposition, earlier/later accepted claims",Cannot infer changed mind merely from topic-level sentiment; readable bounded excerpt,5,4,4,5,5,5,4,91.2,89.6,92.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-02-03,components,Before-and-after evidence pair,inline expandable detail,"same proposition, earlier/later accepted claims",Cannot infer changed mind merely from topic-level sentiment; expansion preserves place,5,4,4,5,5,5,4,91.2,89.6,92.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-02-04,components,Before-and-after evidence pair,side drawer plus permalink,"same proposition, earlier/later accepted claims",Cannot infer changed mind merely from topic-level sentiment; focus and back stack require care,5,4,4,5,5,5,3,89.6,88.4,91.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-02-05,components,Before-and-after evidence pair,dedicated routed detail,"same proposition, earlier/later accepted claims",Cannot infer changed mind merely from topic-level sentiment; extra navigation but source addressable,5,4,4,5,5,5,5,92.8,90.8,93.6,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-02-06,components,Before-and-after evidence pair,hover preview plus click detail,"same proposition, earlier/later accepted claims","Cannot infer changed mind merely from topic-level sentiment; hover enhancement only, never sole access",5,4,5,5,5,4,4,92.0,92.0,92.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-02-07,components,Before-and-after evidence pair,select-and-compare tray,"same proposition, earlier/later accepted claims",Cannot infer changed mind merely from topic-level sentiment; state can distract from current task,5,4,4,5,5,5,3,89.6,88.4,91.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-02-08,components,Before-and-after evidence pair,pinned sidebar,"same proposition, earlier/later accepted claims",Cannot infer changed mind merely from topic-level sentiment; moves below summary on mobile,5,4,5,5,5,4,4,92.0,92.0,92.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-02-09,components,Before-and-after evidence pair,chronological sequence,"same proposition, earlier/later accepted claims",Cannot infer changed mind merely from topic-level sentiment; context clear; relevance still needs ranking,5,4,4,5,5,5,4,91.2,89.6,92.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-02-10,components,Before-and-after evidence pair,preserve appearance; improve semantics,"same proposition, earlier/later accepted claims",Cannot infer changed mind merely from topic-level sentiment; labels and keyboard states first,5,5,4,5,5,5,5,97.2,95.2,98.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-03-01,components,Opposing argument pair,always visible compact row,paired proposition IDs and accepted evidence,False balance if no genuine opposing evidence exists; limited room for caveat; open detail,5,4,5,5,5,5,4,94.0,94.4,94.0,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-03-02,components,Opposing argument pair,full-width editorial card,paired proposition IDs and accepted evidence,False balance if no genuine opposing evidence exists; readable bounded excerpt,5,4,4,5,5,5,4,91.2,89.6,92.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-03-03,components,Opposing argument pair,inline expandable detail,paired proposition IDs and accepted evidence,False balance if no genuine opposing evidence exists; expansion preserves place,5,4,4,5,5,5,4,91.2,89.6,92.4,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-03-04,components,Opposing argument pair,side drawer plus permalink,paired proposition IDs and accepted evidence,False balance if no genuine opposing evidence exists; focus and back stack require care,5,4,4,5,5,5,3,89.6,88.4,91.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-03-05,components,Opposing argument pair,dedicated routed detail,paired proposition IDs and accepted evidence,False balance if no genuine opposing evidence exists; extra navigation but source addressable,5,4,4,5,5,5,5,92.8,90.8,93.6,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-03-06,components,Opposing argument pair,hover preview plus click detail,paired proposition IDs and accepted evidence,"False balance if no genuine opposing evidence exists; hover enhancement only, never sole access",5,4,5,5,5,4,4,92.0,92.0,92.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-03-07,components,Opposing argument pair,select-and-compare tray,paired proposition IDs and accepted evidence,False balance if no genuine opposing evidence exists; state can distract from current task,5,4,4,5,5,5,3,89.6,88.4,91.2,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
COM-03-08,components,Opposing argument pair,pinned sidebar,paired proposition IDs and accepted evidence,False balance if no genuine opposing evidence exists; moves below summary on mobile,5,4,5,5,5,4,4,92.0,92.0,92.8,Requires deterministic derivation or new adjudicated semantic artifact; see data_needed,Trust and publication gates in 01-goals-and-rubric.md apply before release
